day,Ep 1: 15-Nov-2016,Ep 2: 14-May-2019,Ep 3: 23-Mar-2020,Ep 4: 12-Mar-2021,Ep 5: 14-May-2021,Ep 6: 12-Aug-2021,Ep 7: 04-Oct-2021,Ep 8: 11-Jan-2023,Ep 9: 03-Oct-2023,Ep 10: 08-Jan-2024,Ep 11: 19-Jan-2024,Ep 12: 17-Apr-2024,Ep 13: 03-Jan-2025,Ep 14: 17-Mar-2026
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15822857378724464,0.583895766667486,9.382765710199337,0.6491958593476621,-0.25300382141189015,0.1607324197514748,1.0524455523362564,0.341595270064321,0.8109801510834735,-0.1477892491718369,0.2194301015948863,-0.22081912146246774,0.5538101159955344,-1.3607619909798752
2,0.30866037727195206,1.4786145970413722,10.644498078126396,0.49120796076422835,-1.102579153539307,0.42323962132608806,1.4670523618403708,0.7426422242991171,0.6795209779049127,0.4179664703140906,0.5122101900694398,-1.0947371774577386,-0.5627289662379575,-1.6319018952992037
3,0.06925366562864355,0.88625145973944,17.55028157683025,0.7805565840125261,-1.3936773003342284,-0.2858212485120526,2.3090553103621625,0.5380881245260705,1.8690373452812992,0.35057961096158774,0.5938249642031268,-0.2311731289611485,-0.4075746280587045,-3.121012374759724
4,0.8159090804856106,0.20533373788549358,13.590328059354583,-0.7070148655708097,-0.35291158043534443,-1.3575948870501509,2.113262302172325,-1.0265492076047766,2.511201220016779,0.42594373092279536,1.1229779681433572,0.9625244663206134,-1.942458270719083,-2.0114382028829314
5,1.0342186489572969,1.05665729375779,17.39742558326629,-0.7668626088544239,-0.43101692681818404,-1.2336269259308197,1.4121745115638795,-1.782542869450654,3.0450767830332515,0.0512224102243275,1.0570662897923633,0.9840289434332794,-1.7879770533128503,-2.378169440850264
6,1.1158554203605675,0.771236341954773,15.517565030839364,-0.06973783645336518,0.5558417288594519,-0.42951648011692045,1.1670844514307666,0.07557417479298056,3.4874510870207764,-0.5107546068680024,1.8207326320661243,0.5218818010397808,-1.6753976040266183,
7,1.511656171602338,-0.4293662525887254,10.418342719227681,-0.8322893790543073,0.3421301675910593,0.4192044978176712,1.4728656934374529,1.264607858202682,2.8410313397723153,0.3652745647144684,1.7595732063862002,1.5481232365830877,0.12520046378019511,
8,0.9782653561977384,-0.29459393665700606,12.939125770984173,-1.3744693584626266,0.5304455119374163,0.5694007617416341,3.204308376313225,1.1925604782333732,2.324888578893236,1.601120175331805,0.12066589390904436,1.8708895088018984,-0.08632773913878067,
9,1.113103619077327,-1.1296883654799417,11.229552158755695,-0.8576485923100785,0.6476035315116757,0.7926775958734034,3.974226013031168,1.1741707623670772,3.4089538828925736,1.8240636165540725,1.371541444808777,0.2684077328506618,0.9119103672378559,
10,0.8448029939597923,-1.8130757371022543,19.052471618843292,0.7912074535799452,0.7249901170382156,0.20556712540042987,4.3251187082312015,2.28788218489977,3.398787076333809,2.1215314660945506,2.454641814451386,-0.07606213200960221,1.7967276233620044,
11,0.4902792619668972,-1.607036384997218,18.861625100563153,0.7037181678475557,0.6753956179546439,1.088138306099995,5.096431544532454,2.5430709817841013,2.0132641359987824,2.2044529908429533,2.1281827179166157,0.8360861055192848,2.421551980910297,
12,0.5301803805741079,-2.9053665489466862,22.909627245910436,0.3857136336202327,0.821064484828149,1.5234832979512891,5.481506629523336,1.2132174193434597,1.1479033916939496,2.7420783702876372,2.364142394019586,2.1022617532918675,2.96577012589041,
13,1.115396786813383,-3.173852759480811,24.69026548672566,0.749364751707926,0.455215208979709,1.3865132721937456,5.797519335140877,2.695226987033994,-0.1250753644090885,2.675111366756666,3.2077705529762524,3.1565784783989415,2.6717846282774627,
14,1.4602892143148694,-1.0986413398202721,23.43032090819701,1.9407405904639186,1.3426452795380683,1.418121739676259,5.684043102365788,3.768632183010423,-0.2934187660334042,3.451004924908796,3.266657162161324,3.295162886458347,1.1747640290989958,
15,2.7958301037887656,-0.29141867266908594,27.20389738088853,3.4125893278286856,1.2619044766821963,1.7064088969989788,6.185849885826156,5.293970944248927,0.4310253106196038,3.3888662633251743,3.8596556476390376,3.2945655398718854,2.107372860106982,
16,3.0178087406381504,0.3203488556701384,24.401537498882632,3.3119132512033023,1.2796339111371902,1.6723345207057871,6.379085028113263,4.203687515902055,-1.0091146602986045,1.7237180752129655,3.76109805963456,3.8204296514880776,1.6296253914618086,
17,3.629625892615551,1.373478078330237,25.125145257888626,3.4643221228704446,1.0949123710722652,1.327107287208884,5.8417006552787365,3.5638261693214046,-2.1804253508139415,2.994621646926432,2.3422407077963836,3.9916690062741456,2.165766087165766,
18,3.511757070982724,1.8458867983107696,28.477697327254848,3.9010077751347794,1.565221558033958,1.1934998643750028,6.882054477893074,4.896954612669746,-2.649989951412124,4.095063755106487,3.3226510958074718,3.966580449642687,1.6501555750386476,
19,4.188700186663841,1.8102532802241056,26.180387950299444,4.703119690414725,1.7631203804640672,0.7274430991541792,7.090404282332585,3.734623804353565,-1.4808071971533,3.7633776561128984,3.924120988220592,4.4695462754444915,0.8767398068479926,
20,3.342979925609657,1.602802699680006,22.309823902744252,4.682578727677544,1.947841920528992,-0.050439043855066146,7.283174358091915,2.8186648058625474,-0.8428991949307796,4.003115330195595,3.4249278380762638,5.6935094311070245,1.605561323826632,
